Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
CHRYSLER,MODEL-636,SUV - STANDARD,2.0,4,AS8,X,12.0,8.2,10.3,23,238
ASTON MARTIN,MODEL-612,TWO-SEATER,2.5,4,A10,X,12.8,9.0,11.1,21,253
CHEVROLET,MODEL-692,STATION WAGON - SMALL,2.0,4,A9,X,11.2,9.1,10.3,23,233
MERCEDES-BENZ,MODEL-114,SUV - SMALL,2.0,6,AV10,X,12.0,7.2,9.8,24,225
FIAT,MODEL-856,MINICOMPACT,2.5,4,A4,Z,12.3,7.5,10.1,23,236
LEXUS,MODEL-311,MINICOMPACT,2.0,4,A7,D,8.8,7.3,8.1,29,206
LAND ROVER,MODEL-991,MID-SIZE,2.0,6,M5,Z,11.0,7.2,9.3,25,219
INFINITI,MODEL-639,PICKUP TRUCK - STANDARD,4.0,4,AS9,X,16.2,13.7,15.1,16,356
PORSCHE,MODEL-940,FULL-SIZE,2.5,4,AS8,Z,12.2,10.4,11.4,21,263
LAMBORGHINI,MODEL-531,SUBCOMPACT,3.0,6,A8,X,12.9,9.8,11.5,20,260
HYUNDAI,MODEL-279,FULL-SIZE,2.0,4,A8,X,11.9,7.1,9.7,24,222
ACURA,MODEL-372,VAN - PASSENGER,3.0,6,AS5,Z,14.5,11.4,13.1,18,298
ACURA,MODEL-246,SPECIAL PURPOSE VEHICLE,4.0,8,AM7,E,21.6,17.9,19.9,12,297
CHEVROLET,MODEL-100,MID-SIZE,1.0,4,AV,X,9.3,7.3,8.4,28,195
ROLLS-ROYCE,MODEL-231,PICKUP TRUCK - SMALL,2.0,6,AS5,Z,12.8,8.3,10.8,22,239
KIA,MODEL-106,VAN - PASSENGER,2.5,4,A5,X,12.7,10.9,11.9,20,265
INFINITI,MODEL-515,COMPACT,2.0,4,A10,Z,10.8,7.9,9.5,25,213
FIAT,MODEL-626,SUV - SMALL,2.0,4,AM6,X,11.3,6.3,9.0,26,204
PORSCHE,MODEL-972,TWO-SEATER,2.0,4,A7,D,9.3,5.2,7.5,31,210
ACURA,MODEL-585,TWO-SEATER,1.5,4,AS8,X,10.0,7.6,8.9,26,206
FIAT,MODEL-583,FULL-SIZE,3.5,6,A4,E,17.9,12.2,15.3,15,237
JEEP,MODEL-590,MINICOMPACT,2.0,4,AS9,Z,11.4,9.0,10.3,23,230
TOYOTA,MODEL-587,FULL-SIZE,2.5,4,AS7,D,10.5,9.1,9.9,24,258
HYUNDAI,MODEL-817,SUV - SMALL,2.0,4,A5,X,11.6,9.3,10.6,22,247
ROLLS-ROYCE,MODEL-938,VAN - PASSENGER,2.0,4,AS5,Z,13.0,10.1,11.7,20,274
ACURA,MODEL-465,TWO-SEATER,2.0,4,A8,Z,11.4,8.5,10.1,23,226
GMC,MODEL-458,STATION WAGON - MID-SIZE,1.5,3,AV8,X,10.0,8.1,9.1,26,209
TOYOTA,MODEL-915,VAN - CARGO,3.0,6,AM7,X,14.3,11.8,13.2,18,312
PORSCHE,MODEL-663,STATION WAGON - SMALL,3.0,6,AS6,Z,14.6,11.7,13.3,18,299
VOLVO,MODEL-160,TWO-SEATER,2.0,6,A8,E,15.6,10.1,13.1,18,201
TOYOTA,MODEL-162,STATION WAGON - MID-SIZE,2.0,6,AM6,N,12.8,9.2,11.2,21,207
CADILLAC,MODEL-370,FULL-SIZE,3.0,8,AV10,X,15.1,13.2,14.2,17,323
ALFA ROMEO,MODEL-491,SPECIAL PURPOSE VEHICLE,3.5,8,A10,X,15.3,11.3,13.5,17,302
LAMBORGHINI,MODEL-760,STATION WAGON - MID-SIZE,1.5,4,A7,Z,9.5,6.5,8.2,29,189
JEEP,MODEL-737,PICKUP TRUCK - SMALL,2.0,4,AS8,N,10.5,7.5,9.2,26,179
LEXUS,MODEL-354,STATION WAGON - SMALL,1.5,4,A10,X,8.5,5.7,7.2,33,162
HONDA,MODEL-228,TWO-SEATER,3.0,8,AV7,Z,14.8,10.6,12.9,18,288
JAGUAR,MODEL-666,SUV - SMALL,3.0,8,M6,D,12.8,10.4,11.7,20,321
ACURA,MODEL-398,VAN - CARGO,2.5,6,M6,X,13.5,10.6,12.2,19,283
PORSCHE,MODEL-859,COMPACT,1.5,3,M7,Z,9.2,6.3,7.9,30,184
LAMBORGHINI,MODEL-341,FULL-SIZE,2.5,4,AM7,X,11.9,7.3,9.8,24,223
MINI,MODEL-115,STATION WAGON - SMALL,1.5,4,M7,X,9.2,5.5,7.5,31,169
JEEP,MODEL-985,STATION WAGON - MID-SIZE,2.5,4,AV10,D,10.8,7.1,9.1,26,243
ASTON MARTIN,MODEL-560,MINICOMPACT,1.0,4,A4,Z,10.6,6.8,8.9,26,202
LINCOLN,MODEL-875,PICKUP TRUCK - SMALL,1.5,3,A8,Z,9.0,4.2,6.8,35,162
MAZDA,MODEL-684,SUV - STANDARD,3.0,6,AS7,Z,14.3,10.6,12.6,19,293
MERCEDES-BENZ,MODEL-315,MINICOMPACT,2.5,4,AM7,D,9.6,6.2,8.1,29,206
MITSUBISHI,MODEL-616,VAN - CARGO,2.5,4,A10,X,11.6,8.2,10.1,23,232
MITSUBISHI,MODEL-613,SUBCOMPACT,2.0,6,AV10,D,9.9,6.3,8.3,28,212
DODGE,MODEL-189,TWO-SEATER,2.5,6,AS10,Z,12.1,8.7,10.6,22,243
VOLVO,MODEL-290,SUV - SMALL,2.0,4,A10,D,9.6,5.8,7.9,30,212
MERCEDES-BENZ,MODEL-124,STATION WAGON - SMALL,1.0,4,A5,X,9.9,5.2,7.8,30,184
CHRYSLER,MODEL-271,SUV - STANDARD,2.5,6,AV8,X,11.9,10.2,11.1,21,254
MERCEDES-BENZ,MODEL-567,FULL-SIZE,2.0,4,AS8,X,12.1,10.0,11.2,21,254
CADILLAC,MODEL-411,PICKUP TRUCK - SMALL,2.0,4,A7,X,11.8,8.0,10.1,23,230
CADILLAC,MODEL-967,COMPACT,2.5,6,AS5,X,13.8,10.9,12.5,19,290
AUDI,MODEL-412,FULL-SIZE,4.0,8,AS10,X,15.6,10.6,13.4,18,300
LINCOLN,MODEL-773,PICKUP TRUCK - SMALL,2.0,4,A9,D,11.0,7.1,9.2,26,244
LAND ROVER,MODEL-561,MID-SIZE,3.0,4,AV,X,13.5,11.2,12.5,19,274
BMW,MODEL-918,MID-SIZE,2.5,4,A7,D,9.7,6.2,8.1,29,211
VOLKSWAGEN,MODEL-797,PICKUP TRUCK - SMALL,2.5,4,A8,X,13.7,10.0,12.0,20,265
KIA,MODEL-201,VAN - CARGO,3.5,4,A7,E,15.6,11.2,13.6,17,211
ROLLS-ROYCE,MODEL-678,STATION WAGON - SMALL,3.0,6,M5,E,19.0,15.8,17.6,13,267
FIAT,MODEL-399,FULL-SIZE,2.0,4,M6,X,12.1,10.1,11.2,21,254
LINCOLN,MODEL-909,MINICOMPACT,2.0,4,A5,X,10.2,5.7,8.2,29,193
ASTON MARTIN,MODEL-373,COMPACT,2.5,6,AM6,Z,13.1,11.0,12.2,19,284
ASTON MARTIN,MODEL-513,TWO-SEATER,3.0,6,AS9,X,12.8,8.4,10.8,22,248
ACURA,MODEL-689,COMPACT,1.5,4,A7,Z,10.3,5.7,8.2,29,189
GENESIS,MODEL-965,TWO-SEATER,1.0,4,AS6,X,8.0,4.5,6.4,37,146
CHEVROLET,MODEL-967,SPECIAL PURPOSE VEHICLE,3.0,4,A9,E,16.5,10.3,13.7,17,216
FORD,MODEL-744,COMPACT,2.0,6,A9,X,10.8,8.2,9.6,25,220
SUBARU,MODEL-527,VAN - PASSENGER,4.5,8,AS9,X,17.1,14.0,15.7,15,365
LAMBORGHINI,MODEL-643,STATION WAGON - MID-SIZE,3.0,8,A8,Z,14.5,11.1,13.0,18,296
CHRYSLER,MODEL-223,SUV - SMALL,4.0,4,A5,Z,15.2,11.8,13.7,17,326
LAMBORGHINI,MODEL-383,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.5,10.9,11.8,20,272
MERCEDES-BENZ,MODEL-466,SPECIAL PURPOSE VEHICLE,2.5,4,A10,X,12.6,8.2,10.6,22,242
MINI,MODEL-966,TWO-SEATER,2.0,4,A9,Z,11.7,9.0,10.5,22,239
TOYOTA,MODEL-900,VAN - CARGO,4.0,6,AV8,X,14.8,12.6,13.8,17,328
KIA,MODEL-529,SUV - SMALL,3.5,6,M5,Z,13.6,11.6,12.7,19,284
LAMBORGHINI,MODEL-618,SPECIAL PURPOSE VEHICLE,1.5,4,AS10,Z,9.9,6.3,8.3,28,191
CHRYSLER,MODEL-402,VAN - PASSENGER,1.5,3,AV7,X,9.7,5.4,7.8,30,189
LEXUS,MODEL-918,COMPACT,1.0,4,AV10,X,8.5,6.6,7.6,31,178
VOLVO,MODEL-398,FULL-SIZE,1.0,4,A7,Z,9.5,7.9,8.8,27,201
SUBARU,MODEL-441,PICKUP TRUCK - SMALL,2.5,4,AS6,X,13.1,8.3,10.9,22,248
VOLVO,MODEL-182,FULL-SIZE,2.0,6,AV7,E,14.7,9.3,12.3,19,192
INFINITI,MODEL-371,STATION WAGON - SMALL,2.5,4,A8,X,10.9,6.9,9.1,26,202
ROLLS-ROYCE,MODEL-568,COMPACT,2.5,4,M7,X,11.6,8.9,10.4,23,236
PORSCHE,MODEL-123,VAN - PASSENGER,3.0,8,AV8,X,14.2,12.3,13.3,18,307
FORD,MODEL-494,COMPACT,1.5,4,A5,Z,10.9,8.7,9.9,24,226
PORSCHE,MODEL-600,MINICOMPACT,1.0,4,M6,Z,9.3,6.6,8.1,29,182
SUBARU,MODEL-786,SUV - STANDARD,2.5,4,M6,X,12.5,8.7,10.8,22,238
ACURA,MODEL-559,COMPACT,1.5,4,A8,Z,11.7,10.0,10.9,22,244
PORSCHE,MODEL-803,PICKUP TRUCK - SMALL,2.0,4,AM6,X,12.2,10.4,11.4,21,260
PORSCHE,MODEL-795,MID-SIZE,4.0,8,AS8,Z,15.7,11.1,13.6,17,303
MAZDA,MODEL-983,SPECIAL PURPOSE VEHICLE,3.0,6,A9,Z,13.4,10.7,12.2,19,267
AUDI,MODEL-347,VAN - CARGO,3.0,6,AV7,X,13.8,11.6,12.8,18,300
CHRYSLER,MODEL-472,COMPACT,2.5,4,A5,Z,11.7,7.6,9.9,24,232
AUDI,MODEL-244,VAN - CARGO,1.5,4,AV8,D,8.8,5.4,7.3,32,200
JAGUAR,MODEL-797,MID-SIZE,3.0,8,M7,D,13.1,8.9,11.2,21,303
MERCEDES-BENZ,MODEL-214,STATION WAGON - MID-SIZE,1.5,3,AS8,Z,11.1,8.8,10.1,23,230
FORD,MODEL-820,FULL-SIZE,2.0,4,A6,X,11.6,7.6,9.8,24,226
CHEVROLET,MODEL-711,SUV - STANDARD,3.5,6,A6,X,15.3,13.6,14.5,16,326
FORD,MODEL-315,COMPACT,2.0,4,AS6,X,11.7,7.3,9.7,24,223
PORSCHE,MODEL-825,VAN - CARGO,2.0,6,A6,X,12.9,9.3,11.3,21,260
INFINITI,MODEL-344,VAN - CARGO,3.5,6,AS8,N,13.5,8.7,11.3,21,213
BUICK,MODEL-281,STATION WAGON - SMALL,2.0,6,A7,N,11.3,8.5,10.0,24,187
ROLLS-ROYCE,MODEL-337,SUV - STANDARD,2.0,4,A10,E,14.5,10.6,12.7,19,183
FORD,MODEL-544,SUV - STANDARD,3.0,4,M5,X,11.8,8.0,10.1,23,234
LAND ROVER,MODEL-296,TWO-SEATER,1.5,4,A7,X,10.1,6.5,8.5,28,193
ACURA,MODEL-344,SUV - SMALL,2.5,4,M5,X,11.6,9.1,10.5,22,237
JEEP,MODEL-746,VAN - PASSENGER,3.5,6,A8,X,15.0,10.0,12.8,18,298
ASTON MARTIN,MODEL-566,COMPACT,2.0,4,AM7,X,11.8,7.9,10.0,24,229
JAGUAR,MODEL-724,SUBCOMPACT,3.0,4,A6,Z,12.4,9.5,11.1,21,260
RAM,MODEL-302,VAN - CARGO,3.0,8,AV,Z,14.7,10.3,12.7,19,289
BUICK,MODEL-867,VAN - PASSENGER,2.5,4,A8,D,10.6,6.3,8.7,27,231
SMART,MODEL-182,COMPACT,1.0,3,AV,X,9.1,4.2,6.9,34,165
BUICK,MODEL-560,PICKUP TRUCK - SMALL,2.0,4,M6,Z,11.6,7.3,9.7,24,220
JAGUAR,MODEL-654,SPECIAL PURPOSE VEHICLE,2.5,4,AS10,D,10.8,8.0,9.5,25,243
ROLLS-ROYCE,MODEL-545,STATION WAGON - MID-SIZE,2.0,4,A10,X,11.4,6.8,9.3,25,217
GMC,MODEL-407,SUV - SMALL,2.5,6,AM6,X,12.2,8.2,10.4,23,237
MERCEDES-BENZ,MODEL-334,VAN - CARGO,1.5,4,A10,X,8.9,4.0,6.7,35,149
CHRYSLER,MODEL-414,VAN - CARGO,2.0,6,AS6,E,13.9,11.6,12.9,18,196
CHRYSLER,MODEL-179,SPECIAL PURPOSE VEHICLE,2.5,4,AS8,E,15.9,10.4,13.4,18,204
LAND ROVER,MODEL-122,STATION WAGON - MID-SIZE,2.5,4,AV,X,12.6,8.5,10.8,22,254
FIAT,MODEL-919,SUV - SMALL,2.5,6,AM6,X,13.5,12.0,12.8,18,282
MINI,MODEL-662,VAN - CARGO,3.0,6,AS5,X,13.9,10.1,12.2,19,276
RAM,MODEL-505,VAN - PASSENGER,2.0,4,AS10,X,11.8,9.4,10.7,22,254
MITSUBISHI,MODEL-921,VAN - PASSENGER,3.5,8,A6,X,16.6,12.9,14.9,16,354
RAM,MODEL-683,MID-SIZE,1.0,4,AS10,X,11.0,6.5,9.0,26,207
MASERATI,MODEL-655,SPECIAL PURPOSE VEHICLE,2.5,4,A5,E,15.9,10.9,13.7,17,209
CHEVROLET,MODEL-783,SPECIAL PURPOSE VEHICLE,3.5,8,A7,X,15.6,12.8,14.3,16,327
HYUNDAI,MODEL-347,VAN - CARGO,2.5,4,AS6,X,12.2,8.7,10.6,22,230
BUICK,MODEL-508,PICKUP TRUCK - SMALL,2.5,4,A7,E,16.4,13.9,15.3,15,226
NISSAN,MODEL-567,SUV - SMALL,3.0,8,A9,X,14.6,11.0,13.0,18,298
BENTLEY,MODEL-927,PICKUP TRUCK - STANDARD,3.0,6,A7,Z,14.7,12.9,13.9,17,318
BMW,MODEL-762,SUV - STANDARD,2.0,4,AS8,Z,12.0,7.8,10.1,23,232
MITSUBISHI,MODEL-351,PICKUP TRUCK - STANDARD,2.0,4,AS5,X,12.7,9.8,11.4,21,264
MERCEDES-BENZ,MODEL-641,SUV - STANDARD,2.0,4,AS7,X,12.2,8.3,10.4,23,223
MINI,MODEL-257,MID-SIZE,3.0,8,A9,X,15.3,12.8,14.2,17,339
BENTLEY,MODEL-518,SUV - STANDARD,2.0,4,AS7,X,11.5,9.6,10.6,22,241
ASTON MARTIN,MODEL-303,VAN - PASSENGER,3.0,6,AS10,Z,14.2,10.5,12.5,19,278
FORD,MODEL-919,STATION WAGON - MID-SIZE,1.5,3,AS6,X,9.3,5.2,7.5,31,165
HYUNDAI,MODEL-313,VAN - PASSENGER,3.0,6,A9,X,15.4,12.1,13.9,17,325
LAMBORGHINI,MODEL-663,TWO-SEATER,1.5,4,AS6,D,10.2,7.6,9.0,26,240
TOYOTA,MODEL-620,PICKUP TRUCK - SMALL,2.5,6,AM6,E,15.9,10.6,13.5,17,213
TOYOTA,MODEL-837,PICKUP TRUCK - STANDARD,2.0,6,AS8,Z,11.9,8.4,10.3,23,237
FORD,MODEL-775,VAN - CARGO,4.5,10,AV7,D,15.5,12.7,14.2,17,377
CHEVROLET,MODEL-775,COMPACT,3.0,6,A8,X,11.9,7.3,9.8,24,219
SUBARU,MODEL-801,VAN - PASSENGER,3.0,6,AS8,Z,14.4,11.0,12.9,18,291
AUDI,MODEL-342,COMPACT,2.0,4,A8,Z,10.5,8.8,9.7,24,214
ACURA,MODEL-890,SUV - STANDARD,3.0,6,M5,X,13.4,11.5,12.5,19,292
HYUNDAI,MODEL-541,MID-SIZE,2.0,4,AV,X,11.0,6.9,9.2,26,214
BENTLEY,MODEL-398,FULL-SIZE,1.5,3,AM7,Z,10.6,7.2,9.1,26,213
FIAT,MODEL-280,STATION WAGON - MID-SIZE,2.5,4,AV7,X,12.9,8.3,10.8,22,237
AUDI,MODEL-889,SPECIAL PURPOSE VEHICLE,2.0,6,AV7,X,12.5,8.3,10.6,22,242
BENTLEY,MODEL-348,VAN - CARGO,2.5,4,A5,X,13.7,11.2,12.6,19,294
BUICK,MODEL-241,MINICOMPACT,1.0,4,A4,X,9.1,6.1,7.8,30,176
DODGE,MODEL-857,SUV - STANDARD,3.0,4,AS6,N,13.7,10.8,12.4,19,238
SUBARU,MODEL-723,STATION WAGON - SMALL,1.0,4,AS6,Z,9.2,4.8,7.2,33,169
HYUNDAI,MODEL-674,VAN - PASSENGER,4.5,8,AV10,Z,18.6,15.2,17.1,14,386
KIA,MODEL-416,SPECIAL PURPOSE VEHICLE,2.0,4,AS9,X,11.0,7.7,9.5,25,207
CHEVROLET,MODEL-865,FULL-SIZE,3.0,6,AM6,Z,13.9,9.4,11.9,20,263
RAM,MODEL-202,MID-SIZE,2.0,4,AV8,Z,11.5,7.8,9.8,24,224
ACURA,MODEL-433,MID-SIZE,2.0,4,AV8,X,11.2,7.4,9.5,25,222
HONDA,MODEL-549,STATION WAGON - MID-SIZE,2.0,4,AM6,X,10.9,9.3,10.2,23,237
AUDI,MODEL-659,SPECIAL PURPOSE VEHICLE,3.0,4,A6,X,14.2,10.1,12.4,19,288
AUDI,MODEL-281,FULL-SIZE,1.5,3,AS8,X,9.1,5.5,7.5,31,168
LINCOLN,MODEL-792,SPECIAL PURPOSE VEHICLE,2.5,4,AV8,Z,11.8,7.7,10.0,24,236
DODGE,MODEL-601,COMPACT,2.0,4,AS6,X,11.0,9.0,10.1,23,224
HYUNDAI,MODEL-693,MID-SIZE,3.0,6,A8,Z,13.7,8.7,11.4,21,279
ACURA,MODEL-971,STATION WAGON - SMALL,3.0,8,AS9,D,11.3,9.5,10.5,22,267
CHEVROLET,MODEL-103,SPECIAL PURPOSE VEHICLE,2.0,4,A9,Z,11.3,6.5,9.1,26,202
INFINITI,MODEL-705,MID-SIZE,3.0,6,AS8,X,12.7,10.3,11.6,20,279
FIAT,MODEL-730,PICKUP TRUCK - SMALL,2.5,4,A9,D,11.6,8.1,10.0,24,249
ALFA ROMEO,MODEL-526,STATION WAGON - SMALL,2.0,6,AM6,X,13.5,9.7,11.8,20,263
GENESIS,MODEL-721,COMPACT,2.5,4,AS7,Z,12.8,8.7,11.0,21,253
HONDA,MODEL-600,STATION WAGON - MID-SIZE,2.0,4,A7,Z,11.4,8.1,9.9,24,228
LAND ROVER,MODEL-861,TWO-SEATER,1.5,4,M5,X,9.5,5.7,7.8,30,186
CHRYSLER,MODEL-804,COMPACT,2.5,6,AM6,X,12.8,10.7,11.9,20,261
FIAT,MODEL-467,MID-SIZE,2.5,4,A7,D,10.6,9.2,10.0,24,270
LINCOLN,MODEL-653,PICKUP TRUCK - STANDARD,4.0,4,A7,X,13.4,11.0,12.3,19,287
TOYOTA,MODEL-823,STATION WAGON - MID-SIZE,3.5,4,AS10,X,14.3,11.8,13.2,18,295
VOLKSWAGEN,MODEL-252,PICKUP TRUCK - SMALL,2.0,4,A10,X,9.5,6.2,8.0,29,178
CHEVROLET,MODEL-186,SUV - STANDARD,2.5,4,A7,X,12.6,11.0,11.9,20,266
CHRYSLER,MODEL-548,SUBCOMPACT,2.5,4,AS6,X,12.1,7.1,9.8,24,218
CADILLAC,MODEL-578,PICKUP TRUCK - SMALL,2.5,4,M6,D,9.8,8.5,9.2,26,239
SMART,MODEL-985,PICKUP TRUCK - SMALL,2.5,4,M5,E,15.5,11.2,13.6,17,207
CADILLAC,MODEL-589,VAN - PASSENGER,3.5,6,AS6,X,16.5,12.6,14.7,16,339
VOLKSWAGEN,MODEL-646,SPECIAL PURPOSE VEHICLE,1.5,3,AS8,Z,11.6,8.6,10.2,23,236
ALFA ROMEO,MODEL-109,VAN - PASSENGER,2.5,6,A7,X,14.1,12.1,13.2,18,297
HONDA,MODEL-656,STATION WAGON - SMALL,2.5,6,A8,Z,12.7,10.2,11.6,20,268
BUICK,MODEL-331,VAN - CARGO,4.0,8,AS6,X,16.5,13.4,15.1,16,342
KIA,MODEL-597,MINICOMPACT,1.0,4,A7,D,8.8,6.0,7.5,31,201
CHEVROLET,MODEL-254,VAN - PASSENGER,3.5,6,AM6,N,15.5,12.8,14.3,16,260
LAMBORGHINI,MODEL-287,MINICOMPACT,1.0,4,AS10,X,9.1,6.5,7.9,30,185
GMC,MODEL-538,COMPACT,2.5,4,AM6,X,10.6,7.8,9.3,25,208
FORD,MODEL-295,STATION WAGON - SMALL,2.0,4,AS8,E,15.1,10.6,13.1,18,198
GMC,MODEL-807,SUBCOMPACT,2.0,4,AM7,Z,10.7,9.2,10.0,24,237
MAZDA,MODEL-331,SUV - STANDARD,2.5,6,AV,Z,12.5,8.5,10.7,22,257
LAND ROVER,MODEL-145,STATION WAGON - MID-SIZE,2.0,4,A4,Z,11.4,7.3,9.6,25,220
BUICK,MODEL-943,PICKUP TRUCK - SMALL,1.0,3,A7,X,9.6,5.7,7.8,30,179
GMC,MODEL-618,PICKUP TRUCK - STANDARD,3.0,8,A4,X,14.9,10.5,12.9,18,296
GENESIS,MODEL-979,SUBCOMPACT,2.0,6,A8,X,11.7,7.1,9.6,25,223
BMW,MODEL-855,TWO-SEATER,1.0,4,AV10,D,8.1,6.1,7.2,33,187
HYUNDAI,MODEL-317,SUBCOMPACT,1.5,4,AV8,X,10.8,8.8,9.9,24,228
AUDI,MODEL-370,VAN - CARGO,2.0,6,A4,Z,11.4,6.5,9.2,26,208
ALFA ROMEO,MODEL-750,SUV - STANDARD,2.0,4,AM6,X,11.7,7.9,10.0,24,227
LAMBORGHINI,MODEL-679,PICKUP TRUCK - STANDARD,3.5,6,AM7,Z,15.8,13.5,14.8,16,350
SMART,MODEL-906,MID-SIZE,2.0,4,AV7,X,10.6,6.7,8.8,27,203
BENTLEY,MODEL-637,PICKUP TRUCK - STANDARD,4.5,8,M5,Z,17.4,14.1,15.9,15,366
BENTLEY,MODEL-854,COMPACT,2.5,4,AV7,X,11.6,8.5,10.2,23,218
BMW,MODEL-353,SUV - STANDARD,4.0,4,A8,Z,14.0,12.0,13.1,18,292
ACURA,MODEL-665,COMPACT,2.0,6,AS10,X,11.2,8.8,10.1,23,236
BENTLEY,MODEL-508,SPECIAL PURPOSE VEHICLE,2.5,4,AV7,E,17.2,12.1,14.9,16,227
MASERATI,MODEL-405,FULL-SIZE,2.0,4,A8,Z,10.7,6.6,8.9,26,210
JAGUAR,MODEL-491,VAN - PASSENGER,2.0,4,AS6,X,11.6,9.4,10.6,22,240
KIA,MODEL-741,FULL-SIZE,2.5,4,AV7,N,12.2,7.4,10.0,24,199
CADILLAC,MODEL-291,PICKUP TRUCK - SMALL,2.5,4,AS9,Z,13.4,9.1,11.5,20,257
NISSAN,MODEL-131,SUV - SMALL,2.0,4,M5,E,15.5,13.5,14.6,16,221
PORSCHE,MODEL-360,STATION WAGON - MID-SIZE,2.0,4,AV10,Z,9.7,6.8,8.4,28,195
MERCEDES-BENZ,MODEL-704,PICKUP TRUCK - SMALL,4.0,6,AS5,E,19.2,13.1,16.5,14,251
SUBARU,MODEL-735,SPECIAL PURPOSE VEHICLE,3.0,8,AV,X,14.3,9.9,12.3,19,274
ACURA,MODEL-860,PICKUP TRUCK - STANDARD,3.0,6,A9,Z,14.9,12.4,13.8,17,307
DODGE,MODEL-519,FULL-SIZE,3.5,6,AM6,X,14.5,10.9,12.9,18,292
CADILLAC,MODEL-433,STATION WAGON - SMALL,2.0,6,A4,Z,11.0,8.9,10.1,23,245
FORD,MODEL-334,VAN - CARGO,2.5,4,A7,X,12.9,10.2,11.7,20,271
CHRYSLER,MODEL-154,PICKUP TRUCK - STANDARD,3.5,6,AV,E,20.5,17.6,19.2,12,282
ASTON MARTIN,MODEL-919,PICKUP TRUCK - SMALL,3.0,4,AS6,D,11.6,7.7,9.8,24,256
HYUNDAI,MODEL-626,COMPACT,1.0,4,AS10,D,8.2,4.8,6.7,35,186
CADILLAC,MODEL-216,TWO-SEATER,2.5,6,AM7,X,12.6,9.3,11.1,21,241
ROLLS-ROYCE,MODEL-100,FULL-SIZE,2.5,6,AV10,X,13.3,11.3,12.4,19,286
CHEVROLET,MODEL-364,STATION WAGON - MID-SIZE,1.5,3,A9,X,12.0,9.8,11.0,21,245
KIA,MODEL-163,PICKUP TRUCK - STANDARD,4.5,8,A9,D,16.5,14.3,15.5,15,397
BENTLEY,MODEL-281,SUBCOMPACT,2.5,4,A9,X,13.2,10.2,11.8,20,272
CHRYSLER,MODEL-145,COMPACT,2.0,4,AS5,X,10.1,8.0,9.2,26,214
ACURA,MODEL-722,COMPACT,1.5,4,A6,Z,9.3,6.6,8.1,29,176
ASTON MARTIN,MODEL-407,SUBCOMPACT,3.0,4,AV10,X,11.6,9.3,10.6,22,248
ALFA ROMEO,MODEL-120,PICKUP TRUCK - STANDARD,3.0,6,M5,D,13.0,10.9,12.1,19,323
MINI,MODEL-651,SUBCOMPACT,2.0,4,AV8,D,9.5,5.6,7.7,31,196
JEEP,MODEL-891,STATION WAGON - MID-SIZE,2.0,4,M7,X,11.0,8.2,9.7,24,211
GMC,MODEL-747,TWO-SEATER,2.5,6,AM6,D,10.7,8.8,9.8,24,263
LEXUS,MODEL-515,STATION WAGON - MID-SIZE,2.0,4,AV7,X,8.7,6.5,7.7,31,175
BUICK,MODEL-742,SUV - SMALL,3.0,8,AS5,D,13.6,11.4,12.6,19,339
CHEVROLET,MODEL-760,SUBCOMPACT,1.0,4,A8,X,8.9,6.7,7.9,30,182
FORD,MODEL-559,MID-SIZE,2.5,4,AM7,X,13.3,11.5,12.5,19,283
ALFA ROMEO,MODEL-100,PICKUP TRUCK - STANDARD,4.0,6,AS8,X,17.4,14.8,16.2,15,380
MITSUBISHI,MODEL-576,MID-SIZE,2.0,6,A6,X,11.5,9.1,10.4,23,242
CADILLAC,MODEL-640,PICKUP TRUCK - SMALL,2.0,6,A10,X,12.1,8.4,10.4,23,233
VOLVO,MODEL-330,STATION WAGON - MID-SIZE,2.5,4,A8,N,12.8,8.9,11.0,21,214
GENESIS,MODEL-326,COMPACT,2.0,4,AV8,D,9.6,6.4,8.2,29,207
INFINITI,MODEL-720,SUBCOMPACT,1.5,4,AS5,D,9.7,7.4,8.7,27,230
MAZDA,MODEL-488,SUV - STANDARD,2.5,4,AV7,X,11.9,10.4,11.2,21,257
ASTON MARTIN,MODEL-808,SUBCOMPACT,1.5,3,A10,Z,8.7,4.3,6.7,35,160
ACURA,MODEL-243,STATION WAGON - SMALL,1.0,4,AV,Z,8.9,7.0,8.0,29,185
MINI,MODEL-110,STATION WAGON - SMALL,3.0,6,A10,D,11.5,8.0,9.9,24,262
FIAT,MODEL-950,COMPACT,2.0,4,M7,X,10.5,7.2,9.0,26,204
MASERATI,MODEL-271,SUV - SMALL,2.5,6,AV10,Z,12.4,10.3,11.5,20,269
PORSCHE,MODEL-580,COMPACT,2.5,4,AS10,X,12.0,10.3,11.2,21,253
PORSCHE,MODEL-653,TWO-SEATER,2.5,6,AV,Z,13.2,11.1,12.3,19,278
GENESIS,MODEL-674,PICKUP TRUCK - STANDARD,2.5,6,AS7,X,13.9,11.4,12.8,18,285
HONDA,MODEL-300,FULL-SIZE,2.5,6,M5,X,11.1,7.1,9.3,25,205
JEEP,MODEL-180,COMPACT,2.5,4,A7,E,15.0,11.5,13.4,18,208
